SampleLabel,Time,7Li,26Mg,27Al,29Si,31P,43Ca,45Sc,48Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr
bir-1,23678,1300.059,36847.46,28829.06,70473.4,4400.678,1500.079,5000.875,900.028,400.006,41259.496,5501.059,20715.008,2600.237,17010.121,900.028,100,300.003,200.001,100
bir-1,24068,1100.042,40056.079,24821.545,63440.553,2600.237,1000.035,4700.773,1400.069,0,43466.025,4500.709,25021.894,2200.169,17110.24,1300.059,500.009,300.003,100,700.017
bir-1,24458,700.017,37449.021,24220.515,66253.277,2900.294,400.006,4100.588,2000.14,300.003,39654.962,4100.588,24621.199,3400.405,17010.121,2200.169,0,100,0,500.009
bir-1,24848,900.028,41660.658,24621.199,64344.582,2700.255,1100.042,4400.678,2200.169,400.006,43466.025,4600.741,20715.008,3700.479,18311.729,700.017,600.013,0,100,0
bir-1,25238,1100.042,39855.519,27225.919,64143.682,2700.255,1100.042,4600.741,1400.069,0,45070.987,4300.647,24120.346,3600.454,21416.041,900.028,200.001,100,0,0
bir-1,25628,1500.079,35544.164,24420.855,67458.899,3300.381,700.017,3800.506,1800.113,400.006,42061.831,4100.588,19913.87,4100.588,19913.87,1400.069,0,500.009,0,200.001
bir-1,25978,900.028,38351.41,24120.346,65148.212,3200.358,1100.042,2500.219,1300.059,0,42864.211,3400.405,22217.263,2100.154,17410.603,700.017,200.001,200.001,0,200.001
bir-1,26368,700.017,38251.142,24521.027,62134.833,3900.532,1300.059,4700.773,1800.113,400.006,44569.417,2900.294,21916.799,3100.336,17811.096,800.022,0,200.001,0,0
bir-1,26758,700.017,33639.56,27225.919,69066.554,3400.405,800.022,3000.315,1600.09,1000.035,37248.498,3900.532,21616.342,2600.237,19713.593,1700.101,200.001,400.006,0,300.003
bir-1,27148,1500.079,34240.986,23819.842,69167.038,2600.237,1900.126,4400.678,1700.101,200.001,40256.641,3700.479,24420.855,2500.219,16809.884,1500.079,100,100,100,0
bir-1,27537,800.022,36346.178,25422.601,62938.338,2700.255,900.028,2800.274,1700.101,300.003,41058.92,3800.506,24020.177,3500.429,16409.419,700.017,0,0,0,200.001
bir-1,27928,2200.169,38351.41,27426.302,58620.025,3300.381,1100.042,3500.429,1600.09,200.001,46475.476,4300.647,21516.191,2200.169,18011.347,500.009,200.001,100,0,100
bir-1,28317,1300.059,37148.237,24921.719,55608.019,2800.274,1100.042,4200.618,2000.14,200.001,43365.721,5401.021,20214.292,1400.069,16008.965,900.028,0,300.003,0,100
bir-1,28668,1200.05,39654.962,23519.345,64545.486,4600.741,1600.09,2800.274,1300.059,300.003,44168.174,2800.274,21115.594,3500.429,17510.725,1100.042,0,200.001,200.001,200.001
bir-1,29058,1400.069,40256.641,26524.602,65750.964,4200.618,1000.035,4900.841,1400.069,200.001,41560.366,3700.479,18211.601,1700.101,15608.522,1000.035,200.001,500.009,100,100
bir-1,29447,1000.035,39354.132,24721.372,61230.942,2900.294,1200.05,3000.315,1200.05,600.013,47880.103,4600.741,21616.342,3600.454,16709.767,900.028,0,100,0,400.006
bir-1,29837,1400.069,42864.211,26224.047,59724.585,2600.237,700.017,3100.336,600.013,500.009,42563.313,3100.336,19713.593,2000.14,19012.643,600.013,200.001,100,200.001,300.003
bir-1,30227,200.001,39053.308,23319.017,62436.142,3000.315,2100.154,2500.219,1800.113,1000.035,43365.721,4500.709,21215.742,4100.588,16209.191,400.006,300.003,200.001,400.006,200.001
bir-1,30617,900.028,38251.142,24420.855,63340.108,2300.185,900.028,5200.947,1600.09,200.001,37248.498,3900.532,25823.318,3700.479,21215.742,1000.035,300.003,100,0,300.003
bir-1,31007,700.017,40356.923,23920.009,61331.372,4100.588,1700.101,3200.358,600.013,300.003,43666.635,3500.429,20915.3,2900.294,17911.221,1200.05,400.006,100,100,0
bir-1,31357,1100.042,37950.341,25322.423,60327.109,3300.381,1900.126,3000.315,1900.126,600.013,46575.802,4800.806,20715.008,3400.405,20915.3,1100.042,100,100,0,400.006
bir-1,31747,1300.059,40256.641,24521.027,67961.272,2100.154,700.017,4000.56,1000.035,0,41861.243,3800.506,22918.369,4400.678,17811.096,600.013,200.001,100,0,200.001
bir-1,32137,1500.079,42262.422,27827.076,59423.333,4400.678,1100.042,3300.381,2200.169,0,37348.759,3600.454,23319.017,2700.255,16008.965,1000.035,200.001,200.001,200.001,100
bir-1,32526,200.001,35042.928,25422.601,61431.802,2100.154,1500.079,3800.506,1700.101,500.009,41760.95,3900.532,21315.891,2700.255,17710.972,1100.042,400.006,400.006,200.001,200.001
bir-1,32916,900.028,38551.949,26023.682,61030.086,2700.255,1600.09,2500.219,1900.126,300.003,43867.248,3900.532,24420.855,2100.154,18211.601,900.028,200.001,300.003,0,700.017
bir-1,33306,1500.079,38752.49,24320.685,58218.387,2400.202,700.017,3200.358,1500.079,600.013,44770.043,3900.532,21816.646,2100.154,17911.221,1500.079,100,100,0,500.009
bir-1,33656,900.028,39253.856,23118.691,59925.424,2600.237,500.009,4100.588,1200.05,400.006,39654.962,4600.741,22317.419,1600.09,18712.247,900.028,300.003,0,100,300.003
bir-1,34047,1700.101,36346.178,25723.138,60126.265,1900.126,1200.05,4500.709,1700.101,500.009,46876.784,4400.678,23018.53,1500.079,17310.481,1000.035,0,500.009,0,200.001
bir-1,34436,1500.079,35443.915,25823.318,58720.436,3200.358,500.009,3500.429,1000.035,300.003,39253.856,3700.479,22117.108,3500.429,16109.077,1400.069,0,100,100,0
